filepath,filename,domain,label,stratify_key,split,flag
Training_Pool_A_Walls\Non-Cracked\7079-1.jpg,7079-1.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7125-102.jpg,7125-102.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7121-121.jpg,7121-121.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7083-108.jpg,7083-108.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7098-59.jpg,7098-59.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7021-144.jpg,7021-144.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7051-44.jpg,7051-44.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7029-244.jpg,7029-244.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7140-186.jpg,7140-186.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7110-46.jpg,7110-46.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7131-187.jpg,7131-187.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7053-156.jpg,7053-156.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7094-160.jpg,7094-160.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7078-4.jpg,7078-4.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7107-106.jpg,7107-106.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7013-24.jpg,7013-24.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7109-127.jpg,7109-127.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7104-6.jpg,7104-6.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7021-195.jpg,7021-195.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7125-9.jpg,7125-9.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7054-222.jpg,7054-222.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7134-178.jpg,7134-178.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7051-186.jpg,7051-186.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7080-82.jpg,7080-82.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7050-132.jpg,7050-132.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,noncracked_high_edges
Training_Pool_B_Decks\Non-Cracked\7008-217.jpg,7008-217.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7108-161.jpg,7108-161.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7003-61.jpg,7003-61.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7045-81.jpg,7045-81.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7136-54.jpg,7136-54.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7137-206.jpg,7137-206.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7118-146.jpg,7118-146.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7104-162.jpg,7104-162.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7040-115.jpg,7040-115.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7001-220.jpg,7001-220.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7024-233.jpg,7024-233.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7126-36.jpg,7126-36.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7109-178.jpg,7109-178.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7028-231.jpg,7028-231.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7045-17.jpg,7045-17.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7100-201.jpg,7100-201.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7013-120.jpg,7013-120.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7036-218.jpg,7036-218.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7071-112.jpg,7071-112.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7081-17.jpg,7081-17.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7126-68.jpg,7126-68.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7130-146.jpg,7130-146.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7043-119.jpg,7043-119.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7081-43.jpg,7081-43.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7071-27.jpg,7071-27.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7106-240.jpg,7106-240.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7013-169.jpg,7013-169.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7088-18.jpg,7088-18.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7018-86.jpg,7018-86.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7137-245.jpg,7137-245.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7028-134.jpg,7028-134.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7026-189.jpg,7026-189.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7072-243.jpg,7072-243.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7036-113.jpg,7036-113.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7103-62.jpg,7103-62.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7120-228.jpg,7120-228.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7051-183.jpg,7051-183.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7026-142.jpg,7026-142.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7048-132.jpg,7048-132.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7002-159.jpg,7002-159.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7036-110.jpg,7036-110.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7057-27.jpg,7057-27.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7084-12.jpg,7084-12.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7040-109.jpg,7040-109.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7098-20.jpg,7098-20.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7025-45.jpg,7025-45.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7069-214.jpg,7069-214.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7138-227.jpg,7138-227.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7107-84.jpg,7107-84.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7010-128.jpg,7010-128.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7029-219.jpg,7029-219.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7117-101.jpg,7117-101.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7109-197.jpg,7109-197.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7057-92.jpg,7057-92.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7022-21.jpg,7022-21.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7057-85.jpg,7057-85.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7032-140.jpg,7032-140.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7101-116.jpg,7101-116.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7116-39.jpg,7116-39.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7035-19.jpg,7035-19.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7028-82.jpg,7028-82.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7072-117.jpg,7072-117.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7070-147.jpg,7070-147.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7052-4.jpg,7052-4.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7045-240.jpg,7045-240.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7077-41.jpg,7077-41.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7117-195.jpg,7117-195.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7095-152.jpg,7095-152.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,noncracked_high_edges
Training_Pool_A_Walls\Non-Cracked\7131-131.jpg,7131-131.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7057-146.jpg,7057-146.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7020-67.jpg,7020-67.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7113-5.jpg,7113-5.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7024-114.jpg,7024-114.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,very_bright
Training_Pool_A_Walls\Non-Cracked\7117-110.jpg,7117-110.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7043-131.jpg,7043-131.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7105-23.jpg,7105-23.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7027-166.jpg,7027-166.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7047-60.jpg,7047-60.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7139-250.jpg,7139-250.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7095-171.jpg,7095-171.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7004-112.jpg,7004-112.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7132-124.jpg,7132-124.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7044-44.jpg,7044-44.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7019-163.jpg,7019-163.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7015-221.jpg,7015-221.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7046-244.jpg,7046-244.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7101-175.jpg,7101-175.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,noncracked_high_edges
Training_Pool_B_Decks\Non-Cracked\7044-170.jpg,7044-170.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,noncracked_high_edges
Training_Pool_B_Decks\Cracked\7053-115.jpg,7053-115.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7044-238.jpg,7044-238.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7111-175.jpg,7111-175.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7017-73.jpg,7017-73.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,very_dark
Training_Pool_A_Walls\Non-Cracked\7107-59.jpg,7107-59.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7006-185.jpg,7006-185.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7013-5.jpg,7013-5.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7090-104.jpg,7090-104.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7026-125.jpg,7026-125.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7137-116.jpg,7137-116.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7079-211.jpg,7079-211.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7079-112.jpg,7079-112.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7028-49.jpg,7028-49.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7124-221.jpg,7124-221.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7133-114.jpg,7133-114.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7108-26.jpg,7108-26.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7129-129.jpg,7129-129.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7035-194.jpg,7035-194.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7009-49.jpg,7009-49.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7046-164.jpg,7046-164.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7075-166.jpg,7075-166.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7027-233.jpg,7027-233.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7007-158.jpg,7007-158.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7040-194.jpg,7040-194.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7028-64.jpg,7028-64.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7092-18.jpg,7092-18.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7016-65.jpg,7016-65.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7124-151.jpg,7124-151.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7025-106.jpg,7025-106.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7082-160.jpg,7082-160.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7122-85.jpg,7122-85.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7132-134.jpg,7132-134.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,noncracked_high_edges
Training_Pool_A_Walls\Non-Cracked\7111-180.jpg,7111-180.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7113-170.jpg,7113-170.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7104-157.jpg,7104-157.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7087-189.jpg,7087-189.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7014-42.jpg,7014-42.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7120-126.jpg,7120-126.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7057-151.jpg,7057-151.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7073-136.jpg,7073-136.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7136-146.jpg,7136-146.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7095-210.jpg,7095-210.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7086-167.jpg,7086-167.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7109-217.jpg,7109-217.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7089-178.jpg,7089-178.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7132-193.jpg,7132-193.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7079-249.jpg,7079-249.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7086-194.jpg,7086-194.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7079-4.jpg,7079-4.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7040-141.jpg,7040-141.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7001-183.jpg,7001-183.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7046-176.jpg,7046-176.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7022-29.jpg,7022-29.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7079-242.jpg,7079-242.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7083-137.jpg,7083-137.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7011-96.jpg,7011-96.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7090-180.jpg,7090-180.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7049-228.jpg,7049-228.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7129-88.jpg,7129-88.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7108-193.jpg,7108-193.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7026-77.jpg,7026-77.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7069-163.jpg,7069-163.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7012-95.jpg,7012-95.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7049-1.jpg,7049-1.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7025-42.jpg,7025-42.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7038-129.jpg,7038-129.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7023-52.jpg,7023-52.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7130-241.jpg,7130-241.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7077-197.jpg,7077-197.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7025-83.jpg,7025-83.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7079-2.jpg,7079-2.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7076-176.jpg,7076-176.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7088-104.jpg,7088-104.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7120-172.jpg,7120-172.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7037-250.jpg,7037-250.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7004-134.jpg,7004-134.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7035-50.jpg,7035-50.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7120-99.jpg,7120-99.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7084-173.jpg,7084-173.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7037-202.jpg,7037-202.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7054-17.jpg,7054-17.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7023-136.jpg,7023-136.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Cracked\7081-72.jpg,7081-72.jpg,Walls,Cracked,Walls_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7100-44.jpg,7100-44.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7121-196.jpg,7121-196.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7023-240.jpg,7023-240.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Cracked\7046-194.jpg,7046-194.jpg,Decks,Cracked,Decks_Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7073-116.jpg,7073-116.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7027-100.jpg,7027-100.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7031-241.jpg,7031-241.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,noncracked_high_edges
Training_Pool_B_Decks\Non-Cracked\7010-252.jpg,7010-252.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_B_Decks\Non-Cracked\7018-75.jpg,7018-75.jpg,Decks,Non-Cracked,Decks_Non-Cracked,train,no flag
Training_Pool_A_Walls\Non-Cracked\7112-182.jpg,7112-182.jpg,Walls,Non-Cracked,Walls_Non-Cracked,train,no flag
